'a'wei'si'man'qin 阿维四螨嗪
'xi'yan'xing 喜盐性
'zhi'fang'yang'hua 脂肪氧化
'yue'gui'shu 月桂树
'gao'chan'di 高产地
'qing'shui 清水
'shui'chi 水池
'nong'ye'ji'qi'ren 农业机器人
'san'ji 三级
'can'zuo'zhi 蚕座纸
'yu'zhuang'ye 羽状叶
'di'yun 底蕴
'duo'qu'yu'shi'yan 多区域试验
'pei'zi'xing'cheng 配子形成
'lv'hua'jia 氯化钾
'ye'tu 野兔
'shi'yan'kong'jian 试验空间
'feng'men 风门
'he'pu'xian'chang'le'zhen 合浦县常乐镇
'gan'xing'shi'yan 秆行试验
'an'hui'sheng'he'fei'fu'rui'de'sheng'wu'hua'gong'chang 安徽省合肥福瑞德生物化工厂
'man'hua 慢化
'duo'mi'fu'mei'shuang 多咪福美双
'bu'yu'te 不育特
'meng'de'er'shi'bi'li 孟德尔式比例
'hua'sheng'pin'zhong'zhan'shi'shi'fan 花生品种展示示范
'guang'xi'gan'ju'yan'jiu'suo 广西柑桔研究所
'deng'fen'shi'yan'qu'she'ji 等分试验区设计
'bai'di'mie 百敌灭
'da'yang'tuo 大羊驼
'jia'shuang'ling 甲霜灵
'jiu'zai'wu'zi 救灾物资
'hui'fa 挥发
'zhao'ze'wen'jing 沼泽问荆
'xian'an'dan'fei'liao 酰胺氮肥料
'si'yong'gu'wu 饲用谷物
'zi'dong'mi'wu'ji 自动弥雾机
'she'xian'ji 射线计
'gao'zhi'mo 高脂膜
'dan'chun'wei'liang'yuan'su'fei'liao 单纯微量元素肥料
'an'hui'dong'sheng'zhi'yao'you'xian'gong'si 安徽东盛制药有限公司
'zhou'guan'jie 肘关节
'li'jia 篱架
'wu'ming'zhi 无名指
'hei'mai'fu 黑麦麸
'lue'bian 略扁
'ke'yuan'shi'chang 客源市场
'cun'shui 寸水
'you'neng'fen 优能芬
'te'gong'nong'chan'pin 特供农产品
'ya'qing'zuo'wu 压青作物
'guo'song'lian 郭松莲
'tong'tang 酮糖
'zi'dong'hua 自动化
'bi'ran'shi'jian 必然事件
'shi'dai 世代
'jian'ye'bing 剑叶病
'lin'rong 淋溶
'qiu'shou 秋收
'qu'de'le 取得了
'nong'ye'wei'ji 农业危机
'si'zuo'huang'long 四唑磺隆
'sheng'hua 生化
'zhen'cheng'you'ai 真诚友爱
'jie'mo 揭膜
'shi'lin'xian 石林县
'dian'ji'feng'fu 淀积丰富
'lan'xiang'zhi 揽香脂
'ping'jiao'lu'kou 平交路口
'shi'chong'piao'chong 食虫瓢虫
'ban'hua 瓣花
'deng'bi'ran'se'ti 等臂染色体
'nong'cun'lao'dong'li 农村劳动力
'xing'jie'duan 性阶段
'gan'you 肝油
'luo'bo'tan'ju'bing 萝卜炭疽病
'chun'zhong'mian'ji 春种面积
'cao'di'pen'guan'qi 草地喷灌器
'xue'tu 学徒
'bei'jing'shun'tian'jing'xi'hua'gong'you'xian'gong'si 北京顺天精细化工有限公司
'yuan'ku 源库
'yang'juan 羊圈
'wei'gui'xian'xiang 违规现象
'cao'hai 草害
'zhong'li'ce'ding 重力测定
'qi'ti'fa'sheng'qi 气体发生器
'jiang'su'yun'fan'hua'gong'you'xian'gong'si 江苏云帆化工有限公司
'zheng'zhi'ju'chang'wu'wei'yuan'hui 政治局常务委员会
'da'cai'fen'die 大菜粉蝶
'di'wen'fa'jiao 低温发酵
'ci'rui 雌蕊
'yu'du'e 榆毒蛾
'yan'cao'bao'nang'xian'chong'bing 烟草胞囊线虫病
'ku'yuan 库源
'lie'qu 裂区
'shan'dong'luo'bang'sheng'wu'nong'yao'you'xian'gong'si 山东罗邦生物农药有限公司
'tiao'zai 条栽
'shou'bao 瘦薄
'cha'can 茶蚕
'xian'xing'mo'xing 线性模型
'huang'tu 黄土
'jian'ye'de 箭叶的
'jiu'ba'jian 酒吧间
'fei'ji'shu'gong'ren 非技术工人
'cai'xin 菜心
'wei'zhu 为主
'mian'can 眠蚕
'jin'cun 进村
'duo'hua'de 多花的
'jie'gu'mu 接骨木
'gao'xiao'qing'wu'ju'zhi 高效氰戊菊酯
'xian'wei'fen'guang'guang'du'fa 显微分光光度法
'nong'yao'zhi'zao 农药制造
'bai'yun'shi 白云石
'tang'jiang 糖浆
'hui'gui'qu'yu 回归区域
'die'dao 跌倒
'gui'zhou'sheng'qian'dong'nan'nong'ye'kai'fa'gong'si 贵州省黔东南农业开发公司
'dong'qing 冬青
'bao'he'qiang'feng'hua'zhan'pan'tu 饱和强风化粘磐土
'ka'fei'hu'tian'niu 咖啡虎天牛
'ding'e'si'yang 定额饲养
'hou'bei'niu 后备牛
'ding'suan'yan 丁酸盐
'chi'xu'shi'jian 持续时间
'sang'hu'tian'niu 桑虎天牛
'chuan'da'wen'jian 传达文件
'zuo'zhuan'wan 左转弯
'xing'xing 猩猩
'hun'zhi'liu'suan'tong 混脂硫酸铜
'zuo'wu'qi'hou'shi'ying'xing 作物气候适应性
'wei'jiao 尾脚
'cu'zhi'tu 粗质土
'chan'jian'liang'da 产茧量达
'xia'shan'kou 下山口
'qie'sui'pin'pian 切碎贫片
'qing'yi'yong'cao'chang 青刈用草场
'san'bi 三避
'pu'tao'tang 葡萄糖
'ti'yu'xue'yuan 体育学院
'liu'yi 六一
'zheng'chang'gong'zuo'kai'zhan 正常工作开展
'gou'gu 枸骨
'zui'shi'shui'fen 最适水分
'zhu'yao'ji'zhong'zai 主要集中在
'di'bai'zhong'ding'wei 敌百仲丁威
'wei'nian 萎蔫
'you'gan'lan 油橄榄
'can'ting 餐厅
'jiao'qian 较浅
'qi'xing'ce'yan 齐性测验
'jing'shi'jiao'dai 警示胶带
'hun'he'fei'liao 混合肥料
'chu'shu 处暑
'dui'liu 对流
'bai'cai'lei'shu'cai 白菜类蔬菜
'cai'zheng'nian'du 财政年度
'zhuan'ke'xue'xiao 专科学校
'ke'long'pei'yang 克隆培养
'ci'shan'can'hui 慈善餐会
'shan'dong'sheng'de'zhou'zheng'yi'nong'yao'you'xian'gong'si 山东省德州正义农药有限公司
'dai'xin'jia'shuang'ling 代锌甲霜灵
'shan'dong'han'xing'hua'xue'gong'ye'you'xian'gong'si 山东汉兴化学工业有限公司
'tu'rang'dai 土壤带
'yuan'dun'jie 圆盾蚧
'shi'zi 师资
'zui'you'pei'zhi 最优配置
'jia'wu'fu'mei'shuang 甲戊福美双
'yi'xi'jiao'pei 异系交配
'xin'shi 信使
'yu'gang 浴缸
'jiao'er 焦尔
'an'hui'tian'heng'nong'hua'ke'ji'fa'zhan'you'xian'gong'si 安徽天恒农化科技发展有限公司
'xian'nong'ye'wei'sheng'wu'yao'chang 县农业微生物药厂
'lao'wu'yong'gong 劳务用工
'chun'geng'sheng'chan'yong'shui 春耕生产用水
'nai'lao 耐涝
'huo'shan'hui'shi'cheng'tu 火山灰始成土
'lin'xi 淋洗
'shi'yan'zhong'zhi 试验种植
'fa'zhan'tai'shi 发展态势
'jing'jun'mi'xian'an 腈菌咪鲜胺
'duo'sui 多穗
'xian'gai'zhi'wu 嫌钙植物
'jiang'su'wu'xi'kai'li'da'shi'ye'you'xian'gong'si 江苏无锡开立达实业有限公司
'xian'chu'ye 先出叶
'guang'mi'du 光密度
'ji'cai'chu 计财处
'fei'zhi'lou 废纸篓
'xiang'cun'cheng'shi'hua 乡村城市化
'sang'ye'cheng'fen 桑叶成分
'shi'cha're'fen'xi 示差热分析
'e'he'yi'bing'long 噁禾异丙隆
'she'hui'jin'bu 社会进步
'mei'wei'mi'xian'an 霉威咪鲜胺
'bian'ji'di 边际地
'la'ji'shou'ji 垃圾收集
'di'xia'mai'she'wu 地下埋设物
'sang'si'ye'bing'du'bing 桑丝叶病毒病
'da'su'sai'jin'gui 大粟鳃金龟
'ke'zhen'bao'ye'ku'bing 壳针孢叶枯病
'hai'xiang 海象
'pai'shui'xi'tong 排水系统
'men'zhong 闷种
'hua'xue'fan'ying'chan'wu 化学反应产物
'tian'qi'leng 天气冷
'guo'zhai'xiang'mu 国债项目
'guo'shu'can 过熟蚕
'fu'mao 稃毛
'ren'kou'nian'ling'jin'zi'ta 人口年龄金字塔
'zao'tai 早苔
'ding'dan'nong'ye 订单农业
'fu'xie 腹泻
'xian'qi'de 嫌气的
'ci'ji'su 雌激素
'zao'yuan 造园
'xi'bao'dong'su 细胞动素
'shuang'tou'ban'zi 双头扳子
'jiao'ban'ji 搅拌机
'lian'zhou'ma'jiang'mian'cun 廉州马江免村
'jiao'tiao'li'ye'e 焦条丽夜蛾
'wan'qiu'can'si'yu 晚秋蚕饲育
'shou'shu 手术
'zheng'wu 正午
'rong'mao'sheng'chan'xing 绒毛生产性
'ji'ti'tao'lun'jue'ding 集体讨论决定
'yu'cai'yang 育菜秧
'gong'ji 供给
'wu'pei'ru'de 无胚乳的
'tian'cai'da'gui'jia 甜菜大龟甲
'ying'guang'jia'dan'bao'gan'jun 荧光假单胞杆菌
'sheng'wu'di'qiu'hua'xue'xun'huan 生物地球化学循环
'zhu'xiao'ji'yin'kang 主效基因抗
'liang'qi'de 两栖的
'e'bai 垩白
'wu'bing'chong 无病虫
'di'yi'wei'shi'zhi 第一胃食滞
'wu'xing'sheng'zhi 无性生殖
'jia'ji'yi'zhi'lin 甲基乙酯磷
'fei'yu'neng'li 肥育能力
'cun'zai'de'wen'ti 存在的问题
'du'xiu 独秀
'jian'ce'dian 监测点
'guo'jiao 国教
'wen'mei'qing 纹霉清
'shan'dong'jing'feng'yao'ye'you'xian'gong'si 山东京逢药业有限公司
'tu'di'zi'yuan'guan'li 土地资源管理
'nong'chan'pin'shou'gou 农产品收购
'chu'gu 出菇
'ri'qu'wan'shan 日趋完善
'xiong'yi 雄蚁
'gan'zhe'tui'lv'tiao'wen'bing 甘蔗褪绿条纹病
'hui'pu'tao'bao'sui'fu'bing 灰葡萄孢穗腐病
'tu'di'zhi'liang 土地质量
'suan'cheng 酸橙
'yi'zuo'lin 异唑磷
'yi'deng'di 一等地
'fan'ying'su'du 反应速度
'nei'shou'ji 内收肌
'wo'dui 渥堆
'zhong'zi'ce'ding 种子测定
'gan'su'sheng'lan'zhou'shi'nong'yao'chang 甘肃省兰州市农药厂
'deng'xian'pei 邓先培
'shu'dao'pai'shui 鼠道排水
'pi'li'hai 霹雳害
'jia'chu'chang'bing'du'gan'ran 家畜肠病毒感染
'jing'ji'lai'yuan 经济来源
'shui'lian 睡莲
'xian'zhi'an'ji'suan'zhi 限制氨基酸值
'nong'min'wen'hua'su'zhi'pu'bian'jiao'gao 农民文化素质普遍较高
'tu'rang'shui'fen 土壤水分
'shan'dong'sheng'liao'cheng'shi'shu'guang'hua'gong'you'xian'gong'si 山东省聊城市曙光化工有限公司
'xue'xi'dong'yuan 学习动员
'sha'ming'wei 杀螟威
'zi'gong'jiao 子宫角
'zhang'shang'yan 张尚燕
'jiang'su'sheng'nong'yao'yan'jiu'suo'jia'gong'shi'yan'chang 江苏省农药研究所加工试验厂
'he'sha'wei 合杀威
'chang'kai'xin'fei 敞开心扉
'guo'jia 国家
'jin'yi'bu'zhuan'bian 进一步转变
'da'jiao'gai'gu 大脚盖菇
'zhui'qiu'xing'shi 追求形式
'you'zong'bao'de 有总苞的
'guan'mu'dui'fei 灌木堆肥
'hua'xue'tu'xing 化学土型
'he'bei'sheng'nong'ye'da'xue'nong'yao'shi'yan'chang 河北省农业大学农药试验厂
'mao'jiao'can 毛脚蚕
'jia'wu 甲午
'kuang'wu'xue'de'tu'rang'lei'xing 矿物学的土壤类型
'xiu'fen'wo 溴酚肟
'shu'wen'xi 薯瘟锡
'shi'wen'bing'du'bing 蚀纹病毒病
'ren'zao'tian'wei'ji 人造甜味剂
're'te'xing 热特性
'zhong'qian'chu'li 种前处理
'zuo'wu'fen'zi'yu'zhong 作物分子育种
'di'xing 地形
'fei'zhong'zi 废种子
'shui'cheng'yan 水成岩
'jia'you 加油
'jiang'su'sheng'yan'cheng'nan'fang'hua'gong'you'xian'gong'si 江苏省盐城南方化工有限公司
'lv'mai'yi'bing'long 绿麦异丙隆
'jiang'xi'sheng'nan'chang'wen'xiang'chang 江西省南昌蚊香厂
'lv'an'lin 氯胺磷
'bao'hu'zhu'yi 保护主义
'ding'duan'xi'bao 顶端细胞
'zhi'liang'an'quan 质量安全
'duan'ri'chu'li 短日处理
'zao'cai 早材
'an'hui'hai'cheng'sheng'wu'hua'xue'you'xian'gong'si 安徽海成生物化学有限公司
'tan'xiang'mei'bing 檀香煤病
'wa'shi'pen 瓦氏盆
'she'hui'zui'chu'liu'zhuan 社会最初流转
'can'zhi 残值
'hui'ze 会泽
'a'wei'da'man'ling 阿维哒螨灵
'xian'lai 先来
'qing'xin'di'di'wei 氰辛敌敌畏
'qi'shen 起身
'biao'pi'yuan 表皮原
'an'hui'tong'feng'nong'yao'hua'gong'you'xian'gong'si 安徽桐丰农药化工有限公司
'ran'liao'zui 燃料罪
'shan'dong'rui'chuang'hua'gong'you'xian'gong'si 山东锐创化工有限公司
'yang'zhi'xiao'yi 养殖效益
'mai'cao'wei 麦草畏
'ti'gao'su'zhi 提高素质
'tuo'ye'qiao 托叶鞘
'zao'jiao 藻胶
'xi'li'zhong 细粒种
'shou'yi'wang 收蚁网
'di'yi'lei 地衣类
'chong'zu'zhi'shu 重组指数
'xing'tang 杏塘
'ye'sheng'xing 野生型
'qi'che'si'ji 汽车司机
'wan'mu'ci 万亩次
'gong'cheng'wei'sheng'wu 工程微生物
'ji'you'sha'pu'lin 机油杀扑磷
'zha'meng 蚱蜢
'lv'qing'shui'an 氯氰水胺
'a'wei'jun'su 阿维菌素
'tuan'jie'xie'tiao 团结协调
'ke'sha'man 克杀螨
'yan'wu 烟雾
'sen'lin'fu'gai'lv 森林覆盖率
'zhi'wu'jian'yan'jian'yi 植物检验检疫
'zhu'dan'du 猪丹毒
'shui'ping'dai'xing'tu'rang 水平带性土壤
'hui'dui 灰堆
'zao'shu'xing 早熟性
'zhi'ye'shu 芝叶数
'hei'cong'hua'mei'gen'fu'bing 黑葱花霉根腐病
'fen'fei 粪肥
'sang'juan'ye'ku'bing 桑卷叶枯病
'ye'hu'sheng 叶互生
'niao'su'fei'liao 尿素肥料
'quan'wo 醛肟
'zi'ran'qi'hou 自然气候
'cai'feng'shi 裁缝师
'jin'si'xi'shu 近似系数
'tong'wei'su'feng'du 同位素丰度
'fang'jia 放假
'bing'xue'zhi'wu 冰雪植物
'qing'shui'ku 清水库
'pai'qi'feng'shan 排气风扇
'gong'ti 供体
'jiang'su'sheng'wu'jiang'sen'liang'hua'gong'you'xian'gong'si 江苏省吴江森亮化工有限公司
'qin'he 亲和
'tong'feng'jing 通风井
'zhu'ma'huang'jia'die 苎麻黄蛱蝶
'duan'mao'zhong 短毛种
'zhong'te'yi'xing 种特异性
'guang'dong'quan'mei'shi'ye'ri'yong'hua'gong'you'xian'gong'si 广东全美实业日用化工有限公司
'tong'yong'tuo'che 通用拖车
'su'you 素有
'bao'yin'pao 胞饮泡
'ding'wan 丁烷
'ran'shao'fen'xi 燃烧分析
'zi'dong'cheng 自动秤
'fu'shu'du 腐熟度
'ru'xia'te'dian 如下特点
'ye'ti'xiao'du'ji 液体消毒剂
'kuo'shou 阔收
'nan'tong'xin'hua'nong'yao'you'xian'gong'si 南通新华农药有限公司
'lan'zhong 烂种
'chong'xian'lin 虫线磷
'jie'ti'pai'lie 阶梯排列
'guo'tu'zi'yuan'bu 国土资源部
'ya're'dai'yu'lin'qi'hou 亚热带雨林气候
'zhi'wu'qu'xi'xue 植物区系学
'jia'can'si'liao 家蚕饲料
'qie'shi'zhuan'bian 切实转变
'yu'jiang'shui'dao'liang'zhong'fan'zhi'chang 渔江水稻良种繁殖场
'xi'tong'cao'chu'ling 烯酮草除灵
'cheng'guo'lv 成果率
'da'tou'yu'lie'de 大头羽裂的
'ban'shu 半数
'bian'dou 扁豆
'an'hui'sheng'huai'bei'shi'nong'yao'chang 安徽省淮北市农药厂
'qian'bi 前臂
'que'lv'zheng 缺绿症
'gao'shan'dong'wu 高山动物
'qing'tang 清汤
'guang'xi'zhi'bao'nong'yao'chang 广西植保农药厂
'zhu'ma'chi'jia'die 苎麻赤蛱蝶
'ji'ben'jian'she'gui'mo'ping'heng'biao 基本建设规模平衡表
'guang'xi'jin'hong'da'nong'yao'you'xian'gong'si 广西金宏达农药有限公司
'bing'xi'chu'chong'ju 丙烯除虫菊
'pi'zhi 皮脂
'xiao'lu 销路
'nei'juan'de 内卷的
'jiang'su'tai'zhou'bai'li'hua'xue'you'xian'gong'si 江苏泰州百力化学有限公司
'li'xin'shi'bo'zhong'ji 离心式播种机
'jin'yi'bu'jia'kuai 进一步加快
'can'ju 蚕具
'jie'jia'lv 结荚率
'qu'xiong 去雄
'di'wei'xin'liu'lin 敌畏辛硫磷
'zhong'zi'hun'he 种子混合
'you'xiao'xu'shui'liang 有效蓄水量
'mian'ya 绵蚜
'liu'tong'xin'xi 流通信息
'ran'se'ti'shou'suo 染色体收缩
'dao'chang'gan'bing 稻长秆病
'feng'bo'de 风播的
'ju'zhang 局长
'wan'dou'hui'mei'bing 豌豆灰霉病
'dou'gan 豆秆
'wu'liang 武凉
'shuai'lao 衰老
'xi'jun'xing'ruan'hua'bing 细菌性软化病
'shuang'dian'ceng 双电层
'ju'zhu'de 居住的
'yuan'yang 元阳
'ju'hua'cao 菊花草
'xue'qiu'ning'ji'fan'ying 血球凝集反应
'dao'chao'ming 稻巢螟
'wen'ding'fu'zhi'zhi 稳定腐殖质
'si'liao'jiao'hu'ji 饲料搅糊机
'zhong'ding'ke'bai'wei 仲丁克百威
'ji'ben'hu'xi 基本呼吸
'shan'dong'sheng'qing'dao'cheng'yang'jun'fa'hua'gong'chang 山东省青岛城阳君发化工厂
'fu'hua'wu'zhong'du 氟化物中毒
'shuang'xian'dao'du'e 双线盗毒蛾
'shi'yan'zhong'zhi'ji'hua'shu 试验种植计划书
'shen'se'lin'rong'tu 深色淋溶土
'qiang'si 枪丝
'a'wei'chai'you 阿维柴油
'gan'hei'fen'bing 秆黑粉病
'fu'ding'chong'xian'an 氟啶虫酰胺
'shan'dong'sheng'qing'zhou'shi'hua'gong'chang 山东省青州市化工厂
'nong'yao'lei'bie 农药类别
'tu'bian'ti 突变体
'huan'jing'biao'zhun 环境标准
'lai'ren'zhi'piao 来人支票
'fan'ying 反应
'sheng'hua'guo'cheng 生化过程
'jian'she'de 建设的
'ping'zheng 平整
'hai'zao'tang 海藻糖
'pi'jiu'fu'chan'pin 啤酒副产品
'ri'zhao'chong'zu 日照充足
'xing'mian'bao 兴棉宝
'lun'huan'fang'mu 轮换放牧
'qi'zhong'ju 气肿疽
'shi'zhan 实战
'dou'gong 豆功
'gu'wu'gan'zao'ji 谷物干燥机
'an'hui'sheng'quan'jiao'xian'jiao'ling'jing'xi'hua'gong'chang 安徽省全椒县椒陵精细化工厂
'nang'zhong'xian'chong 囊肿线虫
'gao'wen'xie'po 高温胁迫
'ji'zao'du'su 芰皂毒素
'zong'xu'yang'liang 总需氧量
'an'hui'sheng'meng'cheng'xian'kai'yuan'ri'yong'hua'xue'pin'chang 安徽省蒙城县凯源日用化学品厂
'yi'chuan'li 遗传力
'yi'yang 异养
'xin'xiu'di'ding'zhi 辛溴滴丁酯
'mei'yao 没药
'song'zuo'fu'huang'an 松唑氟磺胺
'jia'xing'xiao'ying 加性效应
'xi'ju'pian 喜剧片
'lv'qing'san'zuo'lin 氯氰三唑磷
'di'biao'shui'liang 地表水量
'sheng'wu'jing'zheng 生物竞争
'jia'qing'liu'dan 甲氰硫丹
'gong'fa'zhan 共发展
'an'hui'sheng'tai'hu'shui'an'wen'xiang'chang 安徽省太湖睡安蚊香厂
'xiong'xing'sheng'zhi'pi 雄性生殖啤
'ka'pan 卡盘
'xiao'hei'mai 小黑麦
'chu'bei'jian 储备碱
'jie'he'jin'piao 洁禾金飘
'gao'chan'chuang'jian'yan'shou'ban'fa 高产创建验收办法
'shuang'niao'meng'xin 霜脲锰锌
'chao'yan'ji'xing'yan 超盐基性岩
'ya'liu'suan'na 亚硫酸钠
'xin'cheng'tu 新成土
'mei'tan 煤炭
'nong'min'tou'su'an'jian 农民投诉案件
'zhui'shi 追施
'shui'liu 水流
'ben'bian'jia'cao'an 苯苄甲草胺
'gui'yan 硅岩
'bu'men 部门
'can'ren'gong'si'liao 蚕人工饲料
'gui'suan'xi'jun'fei'liao 硅酸细菌肥料
'tu'rang'bing'yuan'ti 土壤病原体
'nong'cun'fu'nv 农村妇女
'jian'zhu'ji'xie'li'yong'lv 建筑机械利用率
'ran'se'ti'fu'zhi 染色体复制
'ying'yang'shui'ping 营养水平
'jing'ji'wei'yuan'hui 经济委员会
'xin'nong'cun'jian'she'shi'fan'dian 新农村建设示范点
'sheng'chan'xing 生产性
'chong'xin 重新
'da'qin'liu'lin 哒嗪硫磷
'nong'ye'di'qiu'hua'xue 农业地球化学
'an'hui'sheng'su'zhou'shi'nong'yao'chang 安徽省宿州市农药厂
'ji'ben'nong'tian 基本农田
'dan'sui'de 单穗的
'liang'you'gao'chan'chuang'jian 粮油高产创建
'qing'yang'hua'gai 氢氧化钙
'zhong'jian'dai'xie'wu'zhi 中间代谢物质
'ben'mi'jia'huan'zuo 苯醚甲环唑
'gong'yi'xing 公益性
'ju'xiao'chang'guan'ya 菊小长管蚜
'bo'chuang'ba'ping 播床耙平
'can'de'sheng'zhang 蚕的生长
'rou'bao'zi'chong'bing 肉胞子虫病
'zhe'guang'hei'zhi 遮光黑纸
'ji'shu'tui'guang 技术推广
'jin'ti 浸提
'jiu'cai'qu 韭菜蛆
'zhuan'ye'ji'shu'ren'yuan 专业技术人员
'jia'qin'ye 家禽业
'tuo'ying'er'chu 脱颖而出
'nong'ye'qi'xiang'nian'bao 农业气象年报
'mian'gui 缅桂
'xiao'shou 销售
'wu'tu'rang'zhong'zhi'shu'cai 无土壤种植蔬菜
'da'peng 大棚
'xi'shuang'ban'na 西双版纳
'duo'sai'wan 多噻烷
'an'pai'dao 安排到
'chang'she'ji'gou 常设机构
'yi'feng'lin 异砜磷
'ti'wai'pei'yang 体外培养
'ge'fang'mian'su'zhi 各方面素质
'dong'jie'wen'du 冻结温度
'liu'suan'an'huan'suan 硫酸铵换算
'yuan'mai 元麦
'dao'lu'an'quan 道路安全
'wei'he'xin 为核心
'hua'qing'su 花青素
'gu'li'can'jia 鼓励参加
'qu'guang'xing 趋光性
'zhe'gu 鹧鸪
'ji'mang'chang'chong'bing 鸡盲肠虫病
'bao'hu'xing 保护行
'dao'gan'jian'xian'chong'bing 稻干尖线虫病
'jia'ji'mi'ding'lin 甲基嘧啶磷
'yuan'zhu'zhuang'xi'bao 圆柱状细胞
'cu'jin'she'hui'he'xie 促进社会和谐
'ruan'guan'jie'tou 软管接头
'dai'sen'na 代森钠
'e'shuang'ling 噁霜灵
'lian'jing 镰净
'xi'bao'zi'yang'ceng 细胞滋养层
'xin'liu'yi'bing'wei 辛硫异丙威
'yi'tao 一套
'yan'zi'du 盐渍度
'san'bei'ti 三倍体
'you'chong'de 幼虫的
'fu'nei'fa'yu'bu'quan 腹内发育不全
'gen'chu 根除
'yi'you 宜油
'feng'wo'chou'chu'wu 蜂窝抽出物
'wu'xing'xi'xuan'ze 无性系选择
'xiong'pei'su 雄配素
'wei'sheng'wu'xue'guo'cheng 微生物学过程
'sui'chang 穗长
'cun'zai 存在
'si'shui'ba'peng'suan'er'na 四水八硼酸二钠
'fei'liao'gong'ji'liang 肥料供给量
'za'shi'xing'kun'chong 杂食性昆虫
'dong'shi'han'leng'qi'hou 冬湿寒冷气候
'jing'dong'yi'zu'zi'zhi'xian 景东彝族自治县
'tang'liao'zui 糖料罪
'shi'hui'xing'cu'gu'tu 石灰性粗骨土
'bian'yi'ti 变异体
'hei'hua 黑化
'ji'ben'jian'she'tou'zi'wan'cheng'e 基本建设投资完成额
'ba'shu'ju'tian'ru 把数据填入
'xiao'mai'xi'jiang'chong 小麦吸浆虫
'bo'zhong'ji'hua 播种计划
'hao'gong'xing 毫公型
'tuo'chou 脱臭
'bo'zai 播栽
'tu'rang'chu'li 土壤处理
'yin'jing'hai'mian'ti 阴茎海绵体
'nuan'jiao'qi 暖脚器
'hong'wan'dou 红豌豆
'gan'ying'xing 感应性
'ni'guang'zhao 逆光照
'jiu'fei 厩肥
'su'yun'sha'chong'shuang 苏云杀虫双
'luo'sai'hu 络腮胡
'qian'mu 千亩
'shui'bao'he'du 水饱和度
'sheng'wu'li'yong'lv 生物利用率
'chan'pin 产品
'xi'bao'bi 细胞壁
'you'ke'neng 有可能
'dun'si'liao 炖饲料
'gai'mian 盖面
'kan'yi'kan 看一看
'shan'dong'sheng'zi'bo'shi'zhou'cun'nong'yao'chang 山东省淄博市周村农药厂
'ben'bu'men 本部门
'xiao'mai 小麦
'zhong'guo'ren'min'zheng'zhi'xie'shang'hui'yi 中国人民政治协商会议
'gan'zhe'shai'xuan'shi'yan 甘蔗筛选试验
'he'nong'si 禾农思
'yu'yu 豫玉
'bei'dong'xi'shou 被动吸收
'fen'bian'shi'jian 分辨时间
'ke'ji'jiao'yu'xuan'chuan'chu 科技教育宣传处
'zhu'su'sheng 住宿生
'shui'fen'kui'que 水分亏缺
'sha'qing 杀青
'jiang'xi'sheng'yu'gan'xian'nong'ye'hua'gong'chang 江西省余干县农业化工厂
'gui'fei 硅肥
'lan'chang 烂场
'hei'tiao'ai'suo'bing 黑条矮缩病
'fu'zhi'hua'cheng'du 腐殖化程度
'dian'fen'mei 淀粉酶
'tong'hua'neng'li 同化能力
'you'xing'fan'zhi 有性繁殖
'kuang'hua 矿化
'xia'mian 夏眠
'mi'feng'qu'mei'bing 蜜蜂曲霉病
'pei'bi 配比
'guo'man'lin 果满磷
'shen'hong'yi 沈泓毅
'yu'mi'shen 玉米糁
'dan'zhu 单株
'gong'shi'qi'jian'ru'you'yi'yi 公示期间如有异议
'shui'jiao'di 水浇地
'tian'wai 田外
'an'hui'sheng'su'xian'nong'yao'chang 安徽省宿县农药厂
'dao'feng'ling 稻丰灵
'ban'tong'bao'jiao'pei 半同胞交配
'yi'xing'cheng'le 已形成了
'da'kun'zhuang'zhi 打捆装置
'dui'shu 对数
'mian'geng'zai'pei 免耕栽培
'zhen'xing'kang'xing 真性抗性
'bai'cao'wei 稗草畏
'xie'jiang 鞋匠
'liao'ren'xing 廖仁兴
'lin'jie'nong'du 临界浓度
'yao'xian 耀县
'wen'xing'fu'zhi'zhi 温性腐殖质
'tuo'jian'hua'zhan'pan'tu 脱碱化粘磐土
'ni'liu'er'shang 逆流而上
'hua'fen'tu'shi 花粉图式
'man'chuan'ran 螨传染
'di'shi'xiu'mian 低湿休眠
'di'shui'ju 地税局
'jin'yi'bu'zeng'jia 进一步增加
'ye'xiu'bing 叶锈病
'lian'xu'guan'gai 连续灌溉
'ji'neng'que'shi 机能缺失
'da'li 大理
'jia'liu'zhong'ding'wei 甲柳仲丁威
'di'wen'cui'qing 低温催青
'guang'xi'li'pu'xian'meng'xiang'wen'xiang'chang 广西荔浦县梦香蚊香厂
'ji'yin'xiang'hu'zhuo 基因相互酌
'xia'ye'qing'hao 狭叶青蒿
'jia'ji'dui'liu'lin 甲基对硫磷
'tui'hua'xiong'rui 退化雄蕊
'jiang'su'sheng'nong'ken'sheng'wu'hua'xue'you'xian'gong'si 江苏省农垦生物化学有限公司
'jia'qiang 加强
'yang'hua'tang 氧化塘
'he'e'de 合萼的
'xin'liu'lin 辛硫磷
'zuo'you 左右
'pai'chu'suo 派出所
'e'zuo'cao'chu'ling 噁唑草除灵
'xiong'xing'bu'yu'ji'yin 雄性不育基因
'wan'ning 万宁
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'cha'lv 零售市场消费品供需差率
'wu'hou'xue 物候学
