'a'bo 阿勃
'can'sha 蚕沙
'can'sha'wei 残杀威
'can'shen'jing'xi'tong 蚕神经系统
'can'shi 参试
'can'shi 蚕室
'can'shi'xiao'du 蚕室消毒
'can'shu 参数
'can'shu'gu'ji 参数估计
'can'si'chang 蚕丝长
'can'si'yu'liang 蚕饲育量
'can'si'yu'shi'du 蚕饲育湿度
'can'si'yu'wen'du 蚕饲育温度
'can'ti'se 蚕体色
'can'ti'xiao'du 蚕体消毒
'can'ti'zhong 蚕体重
'can'tian'jia'si'liao 蚕添加饲料
'can'wang 蚕网
'can'wei'ye 蚕胃液
'can'xian'chong'bing 蚕线虫病
'can'xiao'hua'guan 蚕消化管
'can'xue'se 蚕血色
'can'xue'ye'xun'huan 蚕血液循环
'can'yong 蚕蛹
'can'yong'cao'jian 蚕用草荐
'can'zhi 残值
'can'zhong'bao'hu 蚕种保护
'can'zhong'cui'qing 蚕种催青
'can'zhong'leng'cang 蚕种冷藏
'can'zhong'sheng'chan 蚕种生产
'can'zhong'xiao'du 蚕种消毒
'can'zuo 蚕座
'can'zuo'mi'du 蚕座密度
'can'zuo'xiao'du 蚕座消毒
'can'zuo'zhi 蚕座纸
'cang'er 苍耳
'cang'shu 仓鼠
'cao'ben'zhi'wu 草本植物
'cao'ben'zhi'wu'zai'pei 草本植物栽培
'cao'bu'lv 草不绿
'cao'chang'tu'rang 草场土壤
'cao'cong'mi'du 草丛密度
'cao'da'mie 草达灭
'cao'dai 草袋
'cao'de 草的
'cao'di 草地
'cao'di'di'qu 草地地区
'cao'di'geng'xin 草地更新
'cao'di'nong'ye 草地农业
'cao'di'pen'guan'qi 草地喷灌器
'cao'di'tu'rang 草地土壤
'cao'di'zao'cheng 草地造成
'cao'di'zao'shu'he 草地早熟禾
'cao'dou'fu 草豆腐
'cao'fei 草肥
'cao'fen 草粉
'cao'fu'chong 草覆虫
'cao'fu'gai 草覆盖
'cao'gan'lin 草甘磷
'cao'jing'jin 草净津
'cao'lu 草芦
'cao'mei 草莓
'cao'mei'bai'fen'bing 草莓白粉病
'cao'mei'che'zhou'cao 草莓车轴草
'cao'mei'hui'mei'bing 草莓灰霉病
'cao'mei'she'yan'bing 草莓蛇眼病
'cao'mei'shou'huo'ji 草莓收获机
'cao'mi 糙米
'cao'mie'te 草灭特
'cao'mu'xi 草木犀
'cao'ping 草坪
'cao'ping'lou'cao'qi 草坪搂草器
'cao'qiang'zhi 草强直
'cao'shi'xing 草食性
'cao'shu'he 草熟禾
'cao'suan 草酸
'cao'suan'yan 草酸盐
'cao'tiao'zhuang'zai'ji 草条装载机
'cao'xi 草席
'cao'ya'ping 草芽平
'cao'yuan 草原
'cao'yuan'kan'mai'niang 草原看麦娘
'cao'yuan'lao'he'cao 草原老鹤草
'cao'yuan'qi'hou 草原气候
'cao'yuan'tu 草原土
'cao'yuan'yang'mao 草原羊茅
'cao'yuan'zhi'wu 草原植物
'cao'zong'ji'yin 操纵基因
'ce'chan 测产
'ce'du 测度
'ce'fen'zhi 侧分枝
'ce'gen 侧根
'ce'gong'yi 测功仪
'ce'jiao 测交
'ce'jiao'pin'xi 测交品系
'ce'liang 测量
'ce'mai 侧脉
'ce'ping 测评
'ce'sheng'de 侧生的
'ce'sheng'hua'de 侧生花的
'ce'shi 侧施
'ce'si 侧丝
'ce'teng 侧藤
'ce'wen 测温
'ce'wen'yi 测温仪
'ce'xian 侧线
'ce'xiang'lou'cao'ji 侧向搂草机
'ce'ya 侧芽
'ce'ya'fa 测压法
'ce'yan 测验
'ce'zhi 侧枝
'ceng'ci'guo'du'xing'tai 层次过渡形态
'ceng'hua'dong 层滑动
'ceng'jia'shi'ji'long 层架式鸡笼
'ceng'pai'lie 层排列
'ceng'wei 层位
'ceng'xi 层析
'ceng'zhuang'tu'rang'xing 层状土壤型
'cha'bai'wen'yu'bing 茶白纹羽病
'cha'bu'duo 差不多
'cha'dian 差点
'cha'dong'zhuang'zhi 差动装置
'cha'er'tong 查耳酮
'cha'ming 差明
'cha'ru 插入
'cha'ru'tu'bian 插入突变
'cha'se'mi 茶色米
'cha'shi'tan'cao'ji 叉式摊草机
'cha'shu 差数
'cha'sui 插穗
'cha'yang 插秧
'cha'yang'hou'chu'li 插秧后处理
'cha'yang'qi'xu'shui'liang 插秧期需水量
'cha'zhi'fan'zhi 插枝繁殖
'chai'dui 拆对
'chai'lv 差旅
'chai'yin'jian 柴印茧
'chai'you'chou'shui'ji 柴油抽水机
'chai'you'fa'dong'ji 柴油发动机
'chan'bao'cong 产孢丛
'chan'chu 蟾蜍
'chan'dan 产蛋
'chan'dan'ji 产蛋鸡
'chan'dan'ji'she 产蛋鸡舍
'chan'dan'neng'li 产蛋能力
'chan'dan'pin'zhong 产蛋品种
'chan'dan'xiang 产蛋箱
'chan'dan'xing 产蛋性
'chan'dan'xing'jian'shao'zheng'hou'qun 产蛋性减少症侯群
'chan'di 产地
'chan'du 产犊
'chan'gao 产羔
'chan'hou'bai'xue'zheng 产后败血症
'chan'hou'fa'yu'bu'quan 产后发育不全
'chan'jian'guo'de 产坚果的
'chan'jian'liang 产茧量
'chan'la'de 产蜡的
'chan'liang 产量
'chan'liang'bian'dong 产量变动
'chan'liang'gou'cheng'yin'su 产量构成因素
'chan'liang'tian'qi'mo'shi 产量天气模式
'chan'liang'xing'zhuang 产量性状
'chan'liang'yu'bao 产量预报
'chan'liang'yu'ce 产量预测
'chan'liang'zhi'shu 产量指数
'chan'luan 产卵
'chan'luan'guan 产卵管
'chan'luan'ji 产卵季
'chan'luan'kong 产卵孔
'chan'luan'liang 产卵量
'chan'luan'lv 产卵率
'chan'luan'qi 产卵期
'chan'luan'shu 产卵数
'chan'mao'you'chong 颤毛幼虫
'chan'mi'liang 产蜜量
'chan'nai'liang 产奶量
'chan'quan 产圈
'chan'rao'jing 缠绕茎
'chan'rao'zhi'wu 缠绕植物
'chan'ru're 产乳热
'chan'ru'wu'cha 掺入误差
'chan'ru'xing 产乳性
'chan'shi'ping'di'ji 铲式平地机
'chan'xiong'dan'bei'ti 产雄单倍体
'chan'xiong'de 产雄的
'chan'ye 产业
'chan'ye'fei'qi'wu 产业废弃物
'chan'ye'liang 产叶量
'chan'zai 产仔
'chan'zai'bang'zhu 产仔帮助
'chan'zai'zhu'she 产仔猪舍
'chang'ban'de 长瓣的
'chang'bi 肠壁
'chang'bing 肠病
'chang'bing'du 肠病毒
'chang'bo'fu'she 长波辐射
'chang'dao'xi'jun 肠道细菌
'chang'dun'zhuang'ye'huo 长盾状叶膕
'chang'fang'xing'bo'zhong 长方形播种
'chang'fu'jing 长匐茎
'chang'gan'dao 长秆稻
'chang'jiao'guo 长角果
'chang'lv'zhi'wu 常绿植物
'chang'mao 长毛
'chang'mao'zhong 长毛种
'chang'qi'tian'qi'yu'bao 长期天气预报
'chang'qi'yu'bao 长期预报
'chang'qi'zhu'cang 长期贮藏
'chang'ran'se'ti 常染色体
'chang'ri'chu'li 长日处理
'chang'ri'zhao'shu'cai 长日照蔬菜
'chang'ri'zhao'zhi'wu 长日照植物
'chang'rou'mao'ye'wan'dou 长柔毛野豌豆
'chang'shi 长石
'chang'wu 长武
'chang'ye 肠液
'chang'zhai 偿债
'chang'zhi 长枝
'chang'zong'liao 长鬃蓼
'chao'bao'qie'pian'ji 超薄切片机
'chao'bian'zhi'yan 超变质岩
'chao'cai 巢菜
'chao'gao'chan 超高产
'chao'hui'tu 潮灰土
'chao'jian'di 潮间地
'chao'jian'di'tu'rang 潮间地土壤
'chao'jian'di'tu'rang'xue 潮间地土壤学
'chao'mi'zhi'sang'yuan 超密植桑园
'chao'mian'yi'xue'qing 超免疫血清
'chao'pi'mi 巢脾蜜
'chao'qin 超亲
'chao'qin'you'shi 超亲优势
'chao'qin'yu'zhong 超亲育种
'chao'shen'geng'li 超深耕犁
'chao'sheng 超声
'chao'sheng'bo 超声波
'chao'shu'pai'luan 超数排卵
'chao'shu'ran'se'ti 超数染色体
'chao'su'li'xin'ji 超速离心机
'chao'suan'xing'yan 超酸性岩
'chao'wei 超微
'chao'wei'liang'yuan'su 超微量元素
'chao'xi 潮汐
'chao'xian'bai'tou'weng 朝鲜白头翁
'chao'xian'da'huang 朝鲜大黄
'chao'xian'ji 朝鲜蓟
'chao'xian'liu 朝鲜柳
'chao'xian'niu 朝鲜牛
'chao'xian'xing 超显性
'chao'xian'xing'dao 朝鲜型稻
'chao'yan'ji'xing'yan 超盐基性岩
'chao'yang'wu'qi'hua'mei 超氧物歧化酶
'che'zhou'cao 车轴草
'chen'bao 尘暴
'chen'dian 沉淀
'chen'dian 衬垫
'chen'dian'chi 沉淀池
'chen'gui 陈规
'chen'ji 沉积
'chen'ji'ceng 沉积层
'chen'ji'wu 沉积物
'chen'ji'wu'wu'ran 沉积物污染
'chen'ji'yu'ni 沉积淤泥
'chen'jiang 沉降
'chen'jiang'fen'xi 沉降分析
'chen'jiang'ping'heng'fa 沉降平衡法
'chen'jiang'su'du 沉降速度
'chen'jiang'su'du'fa 沉降速度法
'chen'jiang'xi'shu 沉降系数
'chen'jiang'xing'wu'dian 沉降性物蕇
'chen'jiang'xing'wu'zhi 沉降性物质
'chen'jing 沉井
'chen'sha'chi 沉沙池
'chen'shui'ye 沉水叶
'chen'tao 衬套
'chen'xian 沉陷
'cheng'ceng 成层
'cheng'cheng 澄城
'cheng'chong 成虫
'cheng'du 程度
'cheng'dui'bi'jiao 成对比较
'cheng'dui'bi'jiao'pai'lie 成对比较排列
'cheng'fa'ding'li 乘法定理
'cheng'fang'min 程方民
'cheng'fen 成分
'cheng'fen'han'liang 成分含量
'cheng'hua'su 成花素
'cheng'ji'he 乘积和
'cheng'liang 称量
'cheng'mo'li 成膜粒
'cheng'nian'zhuang'tai 成年状态
'cheng'qian'shang'wan 成千上万
'cheng'qu 称取
'cheng'shi'fei'liao 城市废料
'cheng'shi'la'ji'dui'fei 城市垃圾堆肥
'cheng'shi'wu'shui 城市污水
'cheng'shu 成熟
'cheng'shu'bi'lv 成熟比率
'cheng'shu'de 成熟的
'cheng'shu'fen'lie 成熟分裂
'cheng'shu'lv'bao 成熟滤胞
'cheng'shu'qi 成熟期
'cheng'shu'yan'chi 成熟延迟
'cheng'sui 成穗
'cheng'tu'mu'yan 成土母岩
'cheng'tu'mu'zhi 成土母质
'cheng'wei 成为
'cheng'wei 称为
'cheng'xian'wei'xi'bao 成纤维细胞
'cheng'xing'si'liao 成形饲料
'cheng'xue'guan'xi'bao 成血管细胞
'cheng'xue'guan'xi'bao'liu 成血管细胞瘤
'cheng'yang 成秧
'cheng'yang'lv 成秧率
'cheng'yin 成因
'cheng'yong'ma 乘用马
'cheng'zai'li 承载力
'cheng'zai'liang 承载量
'cheng'zhi 称之
'cheng'zi 橙子
'chi'ban 翅瓣
'chi'bing 齿病
'chi'cao 齿槽
'chi'dao'ban 赤道板
'chi'dao'wu'feng'dai 赤道无风带
'chi'dou 赤豆
'chi'fa'guo'min'xing 迟发过敏性
'chi'fu'bing 赤腐病
'chi'gen 齿根
'chi'guo 翅果
'chi'jing'mai 翅径脉
'chi'jiu'xing'bian'yi 持久性变异
'chi'lun 齿轮
'chi'mei'bing 赤霉病
'chi'mei'su 赤霉素
'chi'nai'zi'zhu 吃奶仔猪
'chi'se'mi 赤色米
'chi'shui'xing 持水性
'chi'tang 池塘
'chi'xian'hong 赤藓红
'chi'xiao'can 迟小蚕
'chi'xiu'bing 赤锈病
'chi'xu'qi 持续期
'chi'xu'qi'jian 持续期间
'chi'yan'yi'chuan 迟延遗传
'chi'yang 赤杨
'chi'zhong'mai 翅中脉
'chong'fu 重复
'chong'fu'shi'yan 重复试验
'chong'hai 虫害
'chong'ji'ceng 冲积层
'chong'ji'de 冲积地
'chong'ji'de 冲积的
'chong'ji'ni'tu 冲积泥土
'chong'ji'tu 冲积土
'chong'ji'xing'shui'dao'tu 冲积性水稻土
'chong'mei 虫媒
'chong'mei'de 虫媒的
'chong'mei'hua 虫媒花
'chong'mei'zhi'wu 虫媒植物
'chong'qi'zhu'cang 充气贮藏
'chong'qi'zhu'cang'shi 充气贮藏室
'chong'shui 冲水
'chong'xin 重新
'chong'yan 重演
'chong'ying 虫瘿
'chong'zu 重组
'chong'zu'ji'yin 重组基因
'chong'zu'ti 重组体
'chong'zu'xi 重组系
'chong'zu'zhi 重组值
'chong'zu'zhi'shu 重组指数
'chou'chu 抽出
'chou'chu'fa 抽出法
'chou'chun 臭椿
'chou'mi'du'ji 稠密度计
'chou'qu 抽取
'chou'shui 抽水
'chou'shui'guan'gai 抽水灌溉
'chou'shui'she'bei 抽水设备
'chou'shui'zhan 抽水站
'chou'sui 抽穗
'chou'sui'qi 抽穗期
'chou'tai 抽苔
'chou'xian 臭腺
'chou'xiong 抽雄
'chou'xiong'qi 抽雄期
'chou'xue 抽血
'chou'yang 抽样
'chou'yang 臭氧
'chou'yang'dan'wei 抽样单位
'chou'yang'fa 抽样法
'chou'yang'peng'lai 抽样蟛顂
'chu'bei'jian 储备碱
'chu'cao 除草
'chu'cao'ding 除草定
'chu'cao'ji 除草机
'chu'cao'xiao'ying 除草效应
'chu'chan'mu'zhu 初产母猪
'chu'chong'ju'su 除虫菊素
'chu'chou 除臭
'chu'chu 出处
'chu'ci'zhi'wai 除此之外
'chu'cun'fu'lan 储存腐烂
'chu'cun'pin'zhong 储存品种
'chu'di'ji 锄地机
'chu'fa'dian 出发点
'chu'gen 除根
'chu'hu 出乎
'chu'ji 雏鸡
'chu'ji'bai'li 雏鸡白痢
'chu'ji'da'chang'gan'jun'xing'quan'yan'qiu'yan 雏鸡大肠杆菌性全眼球炎
'chu'ji'da'chang'gan'jun'xing'rou'liu'xing'cheng'zheng 雏鸡大肠杆菌性肉瘤形成症
'chu'ji'dan'wei 雏鸡单位
'chu'ji'duo'bei'ti 初级多倍体
'chu'ji'nao'ruan'hua'zheng 雏鸡脑软化症
'chu'ji'sheng'wu 初寄生物
'chu'jiao 触角
'chu'li 处理
'chu'li 畜力
'chu'li'fang'cha 处理方差
'chu'li'pen'fen'qi 畜力喷粉器
'chu'li'ping'fang'he 处理平方和
'chu'li'shu 处理数
'chu'li'xiao'qu 处理小区
'chu'li'xiao'ying 处理效应
'chu'li'zhong'geng'chu 畜力中耕锄
'chu'li'zhui 畜力椎
'chu'li'zu'he 处理组合
'chu'mang'qi 除芒器
'chu'mi'lv 出米率
'chu'miao 出苗
'chu'nv'di 处女地
'chu'nv'sheng'zhi 处女生殖
'chu'qi'shi'du 初期湿度
'chu'qun 畜群
'chu'ru 初乳
'chu'sha 除沙
'chu'she 畜舍
'chu'she'ai'qi 畜舍暧气
'chu'she'qing'sao'qi 畜舍清扫器
'chu'she'wei'sheng 畜舍卫生
'chu'sheng'chu 初生雏
'chu'sheng'lv 出生率
'chu'sheng'ye 初生叶
'chu'sheng'zi'chu 初生仔畜
'chu'sheng'zi'chu'qi'yan 初生仔畜脐炎
'chu'sheng'zi'chu'zhi'xi 初生仔畜窒息
'chu'shi'kai'gou'qi'mao'shi'kai'gou'qi 锄式开沟器锚式开沟器
'chu'shi'kuai 除石块
'chu'shuang 初霜
'chu'shui'zu'zhi 储水组织
'chu'si'liang 出丝量
'chu'xie 出血
'chu'xu 触须
'chu'ya 出芽
'chu'ye 初叶
'chu'ye'su'du 出叶速度
'chu'you'ji 除莠剂
'chu'zhi 初值
'chu'zhi 初制
'chuan'bo 传播
'chuan'cha 传插
'chuan'ci 穿刺
'chuan'ci'pei'yang 穿刺培养
'chuan'dao 传导
'chuan'dao'xing 传导性
'chuan'dong 传动
'chuan'dong'pi'dai 传动皮带
'chuan'fen 传粉
'chuan'fen'zhe 传粉者
'chuan'gan'qi 传感器
'chuan'kong'jian 穿孔茧
'chuan'ming'zheng 喘鸣症
'chuan'ran'bing 传染病
'chuan'ran'bing'xue 传染病学
'chuan'ran'pu 传染瀑
'chuan'ran'xing 传染性
'chuan'ran'xing'chang'gan'yan 传染性肠肝炎
'chuan'ran'xing'de 传染性的
'chuan'ran'xing'fa'shi'nang'bing 传染性法氏囊病
'chuan'ran'xing'wu'ru'zheng 传染性无乳症
'chuan'ran'yuan 传染源
'chuan'ru'de 传入的
'chuan'ru'shen'jing 传入神经
'chuan'ye'de 穿叶的
'chuang'jia'bing 疮痂病
'chuang'jie 床接
'chuang'shang 创伤
'chuang'shang'xing'di'er'wei'yan 创伤性第二胃炎
'chuang'shang'xing'wei'yan 创伤性胃炎
'chuang'shang'xing'xin'bao'yan 创伤性心包炎
'chui'liu 垂柳
'chui'pi 垂皮
'chui'shi'fen'sui'ji 锤式粉碎机
'chui'sui'chou'cao 垂穗臭草
'chui'zhi'chuan'ran 垂直传染
'chui'zhi'di'dai'xing'tu'rang 垂直地带性土壤
'chui'zhi'fen'bu 垂直分布
'chui'zhi'kang'xing 垂直抗性
'chui'zhi'tu'rang'dai 垂直土壤带
'chun'ban 唇瓣
'chun'bo'bai'cai 春播白菜
'chun'bo'zui 春播罪
'chun'can'qi 春蚕期
'chun'can'zhong 春蚕种
'chun'chan'liang 纯产量
'chun'cui'pei'yang 纯粹培养
'chun'da'mai 春大麦
'chun'du 纯度
'chun'duan 醇腶
'chun'geng 春耕
'chun'hua 春化
'chun'hua 淳化
'chun'hua'chu'li 春化处理
'chun'hua'jie'duan 春化阶段
'chun'ji 春季
'chun'ji'han'leng 春季寒冷
'chun'ji'shu'cai 春季蔬菜
'chun'lin 纯林
'chun'luo'bo 春萝卜
'chun'mei 醇酶
'chun'mo 春末
'chun'rong'dan'bai 醇溶蛋白
'chun'tuo'qing'mei 醇脱氢酶
'chun'wen 春温
'chun'xi 纯系
'chun'xi'fen'li 纯系分离
'chun'xi'xuan'ze 纯系选择
'chun'xiao'mai 春小麦
'chun'xing 春性
'chun'xing'hua'de 唇形花的
'chun'xiu'xian'di 纯休闲地
'chun'yu 纯育
'chun'yu'can 春育蚕
'chun'zhi'xing 纯质性
'chun'zhong 纯种
'chun'zhong'du 醇中毒
'chun'zhong'fan'yu 纯种繁育
'chun'zhong'jia'chu 纯种家畜
'ci'biao 刺标
'ci'he 雌核
'ci'he'fa'yu 雌核发育
'ci'hua 雌花
'ci'hua'xiong'hua'liang'xing'hua'yi'zhu 雌花雄花两性花异株
'ci'ji'pai'luan 刺激排卵
'ci'ji'pei'dui 次级配对
'ci'ji'su 雌激素
'ci'jian 次茧
'ci'pin 次品
'ci'qi 此期
'ci'rui 雌蕊
'ci'rui'bing 雌蕊柄
'ci'rui'xian'shu 雌蕊先熟
'ci'sheng'kuang'wu 次生矿物
'ci'sheng'zhi'pi 雌生殖啤
'ci'sheng'zhi'xi'tong 雌生殖系统
'ci'xia'jian 次下茧
'ci'xing 磁性
'ci'xing'bu'yu'xing 雌性不育性
'ci'xing'hou'dai 雌性后代
'ci'xing'huang'gua 雌性黄瓜
'ci'xing'ji'su 雌性激素
'ci'xing'jun'zhu 雌性菌株
'ci'xing'liang'xing'hua'tong'zhu 雌性两性花同株
'ci'xing'liang'xing'yi'ti 雌性两性异体
'ci'xing'xi'bao'zhi'rong'he 雌性细胞质融合
'ci'xiong'jian'bie 雌雄鉴别
'ci'xiong'jian'xing 雌雄间性
'ci'xiong'jie'he'zi 雌雄接合子
'ci'xiong'rui'he'ti'de 雌雄蕊合体的
'ci'xiong'tong'hua'de 雌雄同花的
'ci'xiong'tong'ti 雌雄同体
'ci'xiong'tong'ti'xing 雌雄同体性
'ci'xiong'tong'zhu'xing 雌雄同株性
'ci'xiong'yi'hua'de 雌雄异花的
'ci'xiong'yi'shu 雌雄异熟
'ci'xiong'yi'xing 雌雄异型
'ci'xiong'yi'zhu 雌雄异株
'ci'xiong'yi'zhu'de 雌雄异株的
'ci'yuan'he 雌原核
'ci'zhu 雌株
'ci'zhuang'de 刺状的
'cong'gu'dao'jin 从古到今
'cong'ji'ma 葱蓟马
'cong'tou 葱头
'cong'xing'xian'xing 从性显性
'cong'xing'yi'chuan 从性遗传
'cu'bing'de 粗柄的
'cu'cao'du 粗糙度
'cu'cheng'xiu'mian 促成休眠
'cu'dan'bai 粗蛋白
'cu'dan'bai'bi 粗蛋白比
'cu'fang'fang'mu 粗放放牧
'cu'fang'geng'zui 粗放耕罪
'cu'fang'nong'ye 粗放农业
'cu'fang'si'yang 粗放饲养
'cu'fang'zai'pei 粗放栽培
'cu'fu'zhi'zhi 粗腐殖质
'cu'gan 醋酐
'cu'gen 粗根
'cu'gu'tu 粗骨土
'cu'huang'ti'ji'su 促黄体激素
'cu'hui'fen 粗灰分
'cu'li 醋栗
'cu'li'shu'fei'liao 促粒熟肥料
'cu'luan'pao'ji'su 促卵泡激素
'cu'mao 粗毛
'cu'mao'yang 粗毛羊
'cu'meng'fa'ji 促萌发剂
'cu'mian'yan 粗面岩
'cu'mie 猝灭
'cu'sha 粗砂
'cu'shen'shang'xian'pi'zhi'ji'su 促肾上腺皮质激素
'cu'sheng'zhang'ji'su 促生长激素
'cu'si'liao 粗饲料
'cu'suan 醋酸
'cu'suan'fa'jiao 醋酸发酵
'cu'suan'xi'jun 醋酸细菌
'cu'suan'xian'wei'su 醋酸纤维素
'cu'suan'yan 醋酸盐
'cu'suan'yi'xi'zhi'ma'lai'suan 醋酸乙烯酯马来酸
'cu'xi'bao'fen'lie'ji 促细胞分裂剂
'cu'xian'wei 粗纤维
'cu'xing'xian'ji'su 促性腺激素
'cu'zhi'fang 粗脂肪
'cu'zhi'tu 粗质土
'cui'hua'ji 催化剂
'cui'hua'zhuo 催化酌
'cui'mian'qi 催眠期
'cui'qing'qi 催青期
'cui'que 翠雀
'cui'ru'su 催乳素
'cui'shu'zai'pei 催熟栽培
'cui'ya 催芽
'cun'chu'qi 存储器
'cun'huo'bi 存活比
'cuo'fen'lie 错分裂
'cuo'zong'fu'za 错综复杂
'da'bao'zi 大孢子
'da'bao'zi'xiang 大孢子襄
'da'bi'li'chi'tu'rang'tu 大比例尺土壤图
'da'can'si'yang 大蚕饲养
'da'can'yong'sang 大蚕用桑
'da'can'yong'wang 大蚕用网
'da'cao'sheng'ji 打草绳机
'da'chang'gan'jun'luo 大肠杆菌落
'da'chang'gan'jun'shi'jun'ti 大肠杆菌噬菌体
'da'chang'jun 大肠菌
'da'chang'jun'su 大肠菌素
'da'chang'yan 大肠炎
'da'che'qian 大车前
'da'cong 大葱
'da'cong'yi'bing 大葱疫病
'da'di'gou'zao 大地构造
'da'dou 大豆
'da'dou'ban'dian'bing 大豆斑点病
'da'dou'gen'liu'jun 大豆根瘤菌
'da'dou'shuang'mei'bing 大豆霜霉病
'da'dou'wei'suo'bing 大豆萎缩病
'da'dou'xiang 大豆象
'da'dou'zi'ban'bing 大豆紫斑病
'da'duo'ji 打垛机
'da'feng 大风
'da'feng'shou 大丰收
'da'gu'chang 打谷场
'da'gu'dao 大谷盗
'da'gui'mo'zhong'zhi'chang 大规模种植场
'da'guo'shi'de 大果实的
'da'han 大旱
'da'hua 打滑
'da'hua'de 大花的
'da'huang 大黄
'da'hui'xiang 大回香
'da'ji'zhong'du 大戟中毒
'da'kai'mi'gai 打开蜜盖
'da'kun'ji 打捆机
'da'kun'zhuang'zhi 打捆装置
'da'lei 大类
'da'li'shi 大理石
'da'li'shi'zhuang'rou 大理石状肉
'da'li'zhong'zi 大粒种子
'da'liang'chou'yang 大量抽样
'da'liang'fan'zhi 大量繁殖
'da'liang'tu'bian 大量突变
'da'liang'yuan'su 大量元素
'da'liang'yuan'su'fei'liao 大量元素肥料
'da'lu'de 大陆的
'da'lu'du 大陆度
'da'lu'fu'zhi'zhi 大陆腐殖质
'da'lu'peng 大陆棚
'da'lu'xing'ji'jie'feng 大陆性季节风
'da'lu'xing'qi'hou 大陆性气候
'da'ma 大麻
'da'ma'zhong'du 大麻中毒
'da'ma'zi'bing 大麻籽饼
'da'mai 大麦
'da'mai'ban'ye'bing 大麦斑叶病
'da'mai'fen 大麦粉
'da'mai'fu 大麦麸
'da'mai'gao'gan 大麦稿秆
'da'mai'he'ban'bing 大麦褐斑病
'da'mai'jian'hei'sui'bing 大麦坚黑穗病
'da'mai'si'liao'dan'wei 大麦饲料单位
'da'mai'wang'zhuang'ban'dian'bing 大麦网状斑点病
'da'mu 大亩
'da'nao'pi'zhi 大脑皮质
'da'nong'ye 大农业
'da'pei'zi 大配子
'da'qi 大气
'da'qi'chen'li 大气尘粒
'da'qi'fu'she 大气辐射
'da'qi'fu'she'biao 大气辐射表
'da'qi'fu'you'sheng'wu 大气浮游生物
'da'qi'huan'liu 大气环流
'da'qi'jiang'shui 大气降水
'da'qi'nong'du 大气浓度
'da'qi'rao'dong 大气扰动
'da'qi'shi'du 大气湿度
'da'qi'wen'ding'du 大气稳定度
'da'qi'wu'ran 大气污染
'da'qi'xian'xiang 大气现象
'da'qi'ya 大气压
'da'qi'zu'cheng 大气组成
'da'qu'shi'yan 大区试验
'da'shi'ding'lv 达氏定律
'da'suan 大蒜
'da'suan'shuang'mei'bing 大蒜霜霉病
'da'ti'shang 大体上
'da'tian 大田
'da'tian'pen'wu'ji 大田喷雾机
'da'tou'yu'lie'de 大头羽裂的
'da'wei'guan'shu 大维管束
'da'wen'ke 大蚊科
'da'xia 打下
'da'xing'jia'chu 大型家畜
'da'xing'tuo'la'ji 大型拖拉机
'da'xue'sheng 大学生
'da'yang'ben 大样本
'da'yi'chui'sha'qiang 笪镒槌煞謒
'da'yu 大雨
'da'zhi 大枝
'da'zhi'jia 搭支架
'da'zhuang'ji 打桩机
'da'zi'ran 大自然
'dai'biao'zhi 代表值
'dai'hua 带化
'dai'huan'xing'suan'du 代换性酸度
'dai'huan'xing'yan'ji 代换性盐基
'dai'huan'xing'yang'li'zi 代换性阳离子
'dai'jun'zhe 带菌者
'dai'ru'pin 代乳品
'dai'sen'meng 代森锰
'dai'sen'meng'xin 代森锰锌
'dai'sen'xin 代森锌
'dai'shi'gan'zao'ji 带式干燥机
'dai'shi'sa'fei'ji 带式撒肥机
'dai'xie 代谢
'dai'xie'bao'hu 代谢保护
'dai'xie'guo'cheng 代谢过程
'dai'xie'jie'kang'wu 代谢拮抗物
'dai'xie'neng 代谢能
'dai'xie'sheng'li 代谢生理
'dai'xie'wu 代谢物
'dai'yong'dan'bai'zhi'si'liao 代用蛋白质饲料
'dai'yong'si'liao 代用饲料
'dai'zhuang'pen'wu'ji 带状喷雾机
'dai'zhuang'zhong'zhi 带状种植
'dan'an'se'tu 淡暗色土
'dan'an'suan 蛋氨酸
'dan'bai 蛋白
'dan'bai'cao 蛋白草
'dan'bai'dan 蛋白氮
'dan'bai'fen'jie 蛋白分解
'dan'bai'ji'mei 蛋白激酶
'dan'bai'jia 蛋白价
'dan'bai'mei 蛋白酶
'dan'bai'niao 蛋白尿
'dan'bai'shi 蛋白石
'dan'bai'si'liao 蛋白饲料
'dan'bai'xian 蛋白腺
'dan'bai'zhi 蛋白质
'dan'bai'zhi'dai'xie 蛋白质代谢
'dan'bai'zhi'dai'xie'zhuo'zhang'ai 蛋白质代谢酌障碍
'dan'bai'zhi'de 蛋白质的
'dan'bai'zhi'fen'li'wu 蛋白质分离物
'dan'bai'zhi'he'cheng 蛋白质合成
'dan'bai'zhi'jing'liao 蛋白质精料
'dan'bai'zhi'que'fa 蛋白质缺乏
'dan'bai'zhi'san'ji'jie'gou 蛋白质三级结构
'dan'bai'zhi'wu 蛋白植物
'dan'ban'de 单瓣的
'dan'bao'chi 氮保持
'dan'bao'de 单胞的
'dan'bao'zhuang 蛋包装
'dan'bao'zi 担孢子
'dan'bei'ti 单倍体
'dan'bei'ti'bu'qin'he'xing 单倍体不亲和性
'dan'bei'ti'bu'yu 单倍体不育
'dan'bei'ti'fa 单倍体法
'dan'bei'ti'pei'dui 单倍体配对
'dan'bei'ti'xing 单倍体型
